Endereços,Descrições,Metros Quadrados,Quartos,Banheiros,Vagas,Atributos,Preços
"Rua das Orquídeas, 164 - Jockey, Teresina - PI","Apartamento com  Quarto para Aluguel, 62",  62,  1,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 3.800 /Mês 
"Avenida Joaquim Bernardino de Souza, 5644 - Vila Nova Aliança , Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 40",  40,  2,  1,  1,"['Churrasqueira', 'Condomínio fechado', 'Área de serviço', 'Playground', 'Salão de festas', '...']",   R$ 900 /Mês 
"Estrada do Limoeiro, 465 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 45",  45,  2,  1,  1,"['Portão eletrônico', 'Portaria 24h', 'Aceita animais']",   R$ 1.750 /Mês 
"Jardim Roberto, Osasco - SP","Apartamento com 2 Quartos para Aluguel, 52",  52,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Aceita animais', '...']",   R$ 2.000 /Mês 
"Rua Ali-Babá, 252 - Jardim Gurilândia, Taubaté - SP","Casa com 2 Quartos à Venda/Aluguel 127",  127,  2,  2,  2,"['Ambientes integrados', 'Área de serviço', 'Armário na cozinha']",   R$ 1.500 /Mês 
"Rua Antonieta Leitão, 100 - Freguesia do Ó, São Paulo - SP","Apartamento com 3 Quartos para Aluguel, 85",  85,  3,  3,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Academia', '...']",   R$ 2.800 /Mês 
"Rua Laranjal do Jari, 200 - Pirituba, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 40",  40,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Aceita animais', '...']",   R$ 1.350 /Mês 
"Avenida São João, 241 - Jardim Esplanada, São José dos Campos - SP","Apartamento com 3 Quartos para Aluguel, 106",  106,  3,  2,  2,"['Piscina', 'Elevador', 'Área de serviço', 'Quadra poliesportiva', 'Escritório', '...']",   R$ 3.100 /Mês  Preço abaixo do mercado  
"Jardim Padovani, Londrina - PR","Sala/Conjunto    para Aluguel, 47",  47,,  1,  --,['Vista para o mar'],   R$ 1.500 /Mês 
"Quinta da Primavera, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 90",  90,  2,  1,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Academia', 'Espaço gourmet', '...']",   R$ 3.600 /Mês 
"Estrada Caetano Monteiro, 3711 - Badu, Niterói - RJ","Apartamento com 2 Quartos para Aluguel, 55",  55,  2,  1,  1,"['Condomínio fechado', 'Ar-condicionado', 'Jardim', 'Área de serviço', 'Estacionamento para visitantes', '...']",   R$ 1.400 /Mês 
"Rua Taquarytinga, 170 - Alto da Mooca, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 85",  85,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Varanda gourmet', 'Salão de festas', '...']",   R$ 5.500 /Mês 
"Avenida Doutor Bernardo Kaplan, 123 - Parque Brasília, Campinas - SP","Apartamento com 2 Quartos para Aluguel, 73",  73,  2,  2,  1,['Elevador'],   R$ 2.800 /Mês 
"Alameda dos Cardeais, 57 - Caraguata, Mairiporã - SP","Casa com 5 Quartos à Venda/Aluguel 570",  570,  5,  6,  6,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Academia', 'Aceita animais', '...']",   R$ 15.000 /Mês 
"Avenida Jamaris, 100 - Moema, São Paulo - SP","Sala/Conjunto    para Aluguel, 31",  31,,  1,  1,"['Aquecimento', 'Ar-condicionado', 'Elevador', 'Escritório']",   R$ 2.300 /Mês 
"Rua Giovanni Battista Pirelli - Vila Homero Thon, Santo André - SP","Sala/Conjunto    para Aluguel, 33",  33,,  1,  1,['Elevador'],   R$ 1.290 /Mês 
"Rua São Diego, 520 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 70",  70,  2,  2,  1,"['Piscina', 'Elevador', 'Condomínio fechado', 'Academia', 'Jardim', '...']",   R$ 2.600 /Mês 
"Rua Hugo Zen, 78 - Colônia Rio Grande, São José dos Pinhais - PR","Apartamento com 2 Quartos para Aluguel, 53",  53,  2,  1,  1,,   R$ 1.200 /Mês 
"Rua Giacinto Tognato, 374 - Baeta Neves, São Bernardo do Campo - SP","Casa com 2 Quartos para Aluguel, 80",  80,  2,  2,  1,,   R$ 1.800 /Mês 
"Avenida Jorge Zarur, 11 - Vila Ema, São José dos Campos - SP","Apartamento com 2 Quartos para Aluguel, 62",  62,  2,  2,  2,,   R$ 3.300 /Mês 
"Avenida Cléo de Verberena, 123 - Villa Branca, Jacareí - SP","Casa com 3 Quartos para Aluguel, 165",  165,  3,  2,  2,,   R$ 3.750 /Mês 
"Rua João Teixeira da Silva, 415 - Vila Invernada, São Paulo - SP","Apartamento com 3 Quartos para Aluguel, 76",  76,  3,  2,  2,"['Piscina', 'Elevador', 'Condomínio fechado', 'Academia', 'Playground', '...']",   R$ 2.800 /Mês 
"Avenida Deputado Sérgio Cardoso de Almeida, 1980 - Jardim Olhos d Agua, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 97",  97,  2,  3,  2,"['Aceita animais', 'Ar-condicionado', 'Área de serviço', 'Varanda gourmet', 'Cozinha', '...']",   R$ 4.800 /Mês 
"Estrada do Limoeiro, 36 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 45",  45,  2,  1,  1,"['Mobiliado', 'Condomínio fechado', 'Aceita animais', 'Playground', 'Portaria 24h', '...']",   R$ 1.750 /Mês 
"Campos Eliseos, Ribeirão Preto - SP","Casa com 2 Quartos para Aluguel, 66",  66,  2,  1,  1,"['Aceita animais', 'Lareira']",   R$ 1.200 /Mês 
"Rua Olívia Menelau, 207 - Imbiribeira, Recife - PE","Apartamento com 3 Quartos para Aluguel, 100",  100,  3,  3,  1,,   R$ 2.000 /Mês 
"Rua Cândido Fontoura, 1001 - Butantã, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 46",  46,  2,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Academia', '...']",   R$ 1.700 /Mês 
"Rua Batista de Oliveira, 1398 - Granbery, Juiz de Fora - MG","Apartamento com 3 Quartos para Aluguel, 127",  127,  3,  2,  1,"['Cozinha', 'Elevador', 'Interfone', 'Varanda', 'Área de serviço']",   R$ 1.520 /Mês 
"Chácaras Reunidas Canadá, Santa Isabel - SP","Fazenda/Sítio/Chácara com 2 Quartos para Aluguel, 1500",  1500,  2,  --,  5,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Quintal', 'Ar-condicionado', '...']",   R$ 1.430 /Mês 
"Rua Araguaia - Vila Curuçá, Santo André - SP","Apartamento com 2 Quartos para Aluguel, 64",  64,  2,  2,  1,"['Churrasqueira', 'Elevador', 'Piscina', 'Aceita animais']",   R$ 2.300 /Mês 
"Rua Boa Vista - Boa Vista, São José do Rio Preto - SP","Apartamento com 3 Quartos para Aluguel, 100",  100,  3,  2,  1,"['Cozinha', 'Área de serviço']",   R$ 2.100 /Mês 
"Cidade Jardim Cumbica, Guarulhos - SP","Ponto comercial/Loja/Box    para Aluguel, 60",  60,,  1,  --,,   R$ 1.950 /Mês 
"Avenida José Aloísio Filho, 595 - Humaitá, Porto Alegre - RS","Apartamento com 3 Quartos para Aluguel, 72",  72,  3,  2,  1,"['Playground', 'Quadra poliesportiva', 'Academia', 'Salão de festas', 'Área de serviço']",   R$ 1.400 /Mês  Preço abaixo do mercado  
"Jardim Monte Libano, Santo André - SP","Apartamento com 2 Quartos para Aluguel, 50",  50,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Área de serviço', '...']",   R$ 1.450 /Mês 
"Avenida Aldo Borges Leão, 1 - Morada Nova, Uberlândia - MG","Sala/Conjunto    para Aluguel, 42",  42,,  1,  --,,   R$ 500 /Mês 
"Centro, Uberlândia - MG","Sala/Conjunto    para Aluguel, 80",  80,,  2,  1,"['Elevador', 'Aceita animais', 'Garagem', 'Ar-condicionado', 'Área de serviço', '...']",   R$ 1.200 /Mês 
"Nova Aliança, Ribeirão Preto - SP","Apartamento com  Quarto para Aluguel, 37",  37,  1,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Área de serviço', '...']",   R$ 1.400 /Mês 
"Zona Nova, Capão da Canoa - RS","Casa com 2 Quartos para Aluguel, 83",  83,  2,  2,  3,"['Mobiliado', 'Churrasqueira', 'Aceita animais', 'Espaço gourmet', 'Ar-condicionado', '...']",   R$ 1.000 /Dia 
"Rua Martins Heredia - Vila Albertina, São Paulo - SP","Sala/Conjunto    para Aluguel, 40",  40,,  1,  --,,   R$ 1.200 /Mês 
"Santa Rosa, Uberlândia - MG","Sala/Conjunto    para Aluguel, 100",  100,,  1,  4,"['Elevador', 'Varanda', 'Aceita animais', 'Garagem', 'Escritório', '...']",   R$ 2.000 /Mês 
"Rua Marambaia - Irajá, Rio de Janeiro - RJ","Kitnet/Conjugado com  Quarto para Aluguel, 25",  25,  1,  1,  --,"['Cozinha', 'Área de serviço']",   R$ 750 /Mês 
"Jardim Jatoba, Sorocaba - SP","Sala/Conjunto    para Aluguel, 24",  24,,  1,  3,,   R$ 1.100 /Mês 
"Pacaembu, Uberlândia - MG","Ponto comercial/Loja/Box    para Aluguel, 100",  100,,  1,  4,"['Varanda', 'Aceita animais', 'Garagem', 'Área de serviço', 'Escritório', '...']",   R$ 2.500 /Mês 
"Rua da Paz, 54 - Jardim Santa Edwirges, Guarulhos - SP","Casa com 4 Quartos para Aluguel, 230",  230,  4,  4,  2,"['Lavanderia', 'Varanda']",   R$ 4.200 /Mês 
"Granada, Uberlândia - MG","Ponto comercial/Loja/Box    para Aluguel, 88",  88,,  1,  2,"['Garagem', 'Cozinha', 'Área de serviço']",   R$ 2.500 /Mês 
"Rua Coronel Spínola de Castro - Vila Redentora, São José do Rio Preto - SP","Apartamento com 3 Quartos para Venda/Aluguel 91",  91,  3,  2,  2,"['Elevador', 'Varanda', 'Ar-condicionado', 'Área de serviço', 'Cozinha', '...']",   R$ 2.500 /Mês 
"Vila Marieta, São Paulo - SP","Sala/Conjunto    para Aluguel, 20",  20,,  --,  --,,   R$ 800 /Mês 
"Rua José do Patrocínio, 264 - Cidade Baixa, Porto Alegre - RS","Kitnet/Conjugado com  Quarto para Aluguel, 40",  40,  1,  1,  --,"['Elevador', 'Área de serviço']",   R$ 750 /Mês 
"Granada, Uberlândia - MG","Ponto comercial/Loja/Box    para Aluguel, 88",  88,,  1,  2,"['Garagem', 'Cozinha', 'Área de serviço']",   R$ 2.500 /Mês 
"Rua Coronel Corte Real, 82 - Petrópolis, Porto Alegre - RS","Apartamento com 3 Quartos para Aluguel, 77",  77,  3,  1,  1,"['Academia', 'Salão de festas', 'Ar-condicionado', 'Área de serviço']",   R$ 2.500 /Mês 
"Rua Newton Stilac Leal, 241 - Jardim Botânico, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 87",  87,  2,  3,  2,"['Mobiliado', 'Varanda', 'Área de serviço', 'Varanda gourmet', 'Salão de festas', '...']",   R$ 2.300 /Mês  Preço abaixo do mercado  
"Rua Newton Stilac Leal, 241 - Jardim Botânico, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 87",  87,  2,  3,  2,"['Mobiliado', 'Varanda', 'Área de serviço', 'Varanda gourmet', 'Salão de festas', '...']",   R$ 2.300 /Mês  Preço abaixo do mercado  
"Rua Veador Porto, 530 - Santana, Porto Alegre - RS","Apartamento com 2 Quartos para Aluguel, 55",  55,  2,  1,  2,"['Ar-condicionado', 'Área de serviço']",   R$ 1.600 /Mês 
"Rua da Criança, 1 - Laranjeiras, Uberlândia - MG","Casa com 2 Quartos para Aluguel, 81",  81,  2,  1,  2,,   R$ 1.300 /Mês 
"Vila Aviação, Bauru - SP","Apartamento com 2 Quartos para Aluguel, 65",  65,  2,  2,  1,,   R$ 3.500 /Mês 
"Rua Barão de Itaipu, 127 - Andaraí, Rio de Janeiro - RJ","Apartamento com 2 Quartos para Aluguel, 89",  89,  2,  2,  4,"['Elevador', 'Varanda', 'Academia', 'Área de serviço', 'Playground', '...']",   R$ 2.300 /Mês 
"Estrada Municipal do Roncáglia, 450 - Roncáglia, Valinhos - SP","Ponto comercial/Loja/Box    para Aluguel, 100",  100,,  2,  2,"['Próximo a shopping', 'Próximo a escola', 'Próximo a hospitais', 'Garagem', 'Perto de vias de acesso']",   R$ 2.675 /Mês 
"BAIRRO PINHEIRINHO, Vinhedo - SP","Sala/Conjunto    para Aluguel, 80",  80,,  --,  --,,   R$ 7.000 /Mês 
"Ponta Aguda, Blumenau - SC","Imóvel comercial    para Aluguel, 281",  281,,  4,  4,"['Quintal', 'Aceita animais', 'Ar-condicionado', 'Área de serviço', 'Escritório', '...']",   R$ 5.010 /Mês 
"Avenida João Pessoa, 1 - Martins, Uberlândia - MG","Apartamento com 3 Quartos para Aluguel, 80",  80,  3,  1,  1,,   R$ 1.400 /Mês 
"Rua Francisco Leandro, 1759 - Lagoa Redonda, Fortaleza - CE","Apartamento com 2 Quartos para Aluguel, 70",  70,  2,  2,  2,"['Churrasqueira', 'Cozinha', 'Interfone', 'Área de serviço']",   R$ 1.100 /Mês 
"Vila Marieta, São Paulo - SP","Sala/Conjunto    para Aluguel, 32",  32,,  1,  --,,   R$ 1.200 /Mês 
"Picanço, Guarulhos - SP","Apartamento com 2 Quartos para Aluguel, 58",  58,  2,  2,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 2.200 /Mês 
"Rua Rubens Metello - Ibiapaba, Barbacena - MG","Sala/Conjunto    para Aluguel, 30",  30,,  1,  --,"['Cozinha', 'Elevador']",   R$ 1.132 /Mês 
"Chácaras Reunidas Canadá, Santa Isabel - SP","Fazenda/Sítio/Chácara com 2 Quartos para Aluguel, 1500",  1500,  2,  --,  5,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Quintal', 'Ar-condicionado', '...']",   R$ 1.430 /Mês 
"Rua Araguaia - Vila Curuçá, Santo André - SP","Apartamento com 2 Quartos para Aluguel, 64",  64,  2,  2,  1,"['Churrasqueira', 'Elevador', 'Piscina', 'Aceita animais']",   R$ 2.300 /Mês 
"Rua Boa Vista - Boa Vista, São José do Rio Preto - SP","Apartamento com 3 Quartos para Aluguel, 100",  100,  3,  2,  1,"['Cozinha', 'Área de serviço']",   R$ 2.100 /Mês 
"Cidade Jardim Cumbica, Guarulhos - SP","Ponto comercial/Loja/Box    para Aluguel, 60",  60,,  1,  --,,   R$ 1.950 /Mês 
"Avenida José Aloísio Filho, 595 - Humaitá, Porto Alegre - RS","Apartamento com 3 Quartos para Aluguel, 72",  72,  3,  2,  1,"['Playground', 'Quadra poliesportiva', 'Academia', 'Salão de festas', 'Área de serviço']",   R$ 1.400 /Mês  Preço abaixo do mercado  
"Jardim Monte Libano, Santo André - SP","Apartamento com 2 Quartos para Aluguel, 50",  50,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Área de serviço', '...']",   R$ 1.450 /Mês 
"Avenida Aldo Borges Leão, 1 - Morada Nova, Uberlândia - MG","Sala/Conjunto    para Aluguel, 42",  42,,  1,  --,,   R$ 500 /Mês 
"Centro, Uberlândia - MG","Sala/Conjunto    para Aluguel, 80",  80,,  2,  1,"['Elevador', 'Aceita animais', 'Garagem', 'Ar-condicionado', 'Área de serviço', '...']",   R$ 1.200 /Mês 
"Nova Aliança, Ribeirão Preto - SP","Apartamento com  Quarto para Aluguel, 37",  37,  1,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Área de serviço', '...']",   R$ 1.400 /Mês 
"Zona Nova, Capão da Canoa - RS","Casa com 2 Quartos para Aluguel, 83",  83,  2,  2,  3,"['Mobiliado', 'Churrasqueira', 'Aceita animais', 'Espaço gourmet', 'Ar-condicionado', '...']",   R$ 1.000 /Dia 
"Rua Martins Heredia - Vila Albertina, São Paulo - SP","Sala/Conjunto    para Aluguel, 40",  40,,  1,  --,,   R$ 1.200 /Mês 
"Santa Rosa, Uberlândia - MG","Sala/Conjunto    para Aluguel, 100",  100,,  1,  4,"['Elevador', 'Varanda', 'Aceita animais', 'Garagem', 'Escritório', '...']",   R$ 2.000 /Mês 
"Rua Marambaia - Irajá, Rio de Janeiro - RJ","Kitnet/Conjugado com  Quarto para Aluguel, 25",  25,  1,  1,  --,"['Cozinha', 'Área de serviço']",   R$ 750 /Mês 
"Jardim Jatoba, Sorocaba - SP","Sala/Conjunto    para Aluguel, 24",  24,,  1,  3,,   R$ 1.100 /Mês 
"Pacaembu, Uberlândia - MG","Ponto comercial/Loja/Box    para Aluguel, 100",  100,,  1,  4,"['Varanda', 'Aceita animais', 'Garagem', 'Área de serviço', 'Escritório', '...']",   R$ 2.500 /Mês 
"Rua da Paz, 54 - Jardim Santa Edwirges, Guarulhos - SP","Casa com 4 Quartos para Aluguel, 230",  230,  4,  4,  2,"['Lavanderia', 'Varanda']",   R$ 4.200 /Mês 
"Granada, Uberlândia - MG","Ponto comercial/Loja/Box    para Aluguel, 88",  88,,  1,  2,"['Garagem', 'Cozinha', 'Área de serviço']",   R$ 2.500 /Mês 
"Rua Coronel Spínola de Castro - Vila Redentora, São José do Rio Preto - SP","Apartamento com 3 Quartos para Venda/Aluguel 91",  91,  3,  2,  2,"['Elevador', 'Varanda', 'Ar-condicionado', 'Área de serviço', 'Cozinha', '...']",   R$ 2.500 /Mês 
"Vila Marieta, São Paulo - SP","Sala/Conjunto    para Aluguel, 20",  20,,  --,  --,,   R$ 800 /Mês 
"Rua José do Patrocínio, 264 - Cidade Baixa, Porto Alegre - RS","Kitnet/Conjugado com  Quarto para Aluguel, 40",  40,  1,  1,  --,"['Elevador', 'Área de serviço']",   R$ 750 /Mês 
"Granada, Uberlândia - MG","Ponto comercial/Loja/Box    para Aluguel, 88",  88,,  1,  2,"['Garagem', 'Cozinha', 'Área de serviço']",   R$ 2.500 /Mês 
"Rua Coronel Corte Real, 82 - Petrópolis, Porto Alegre - RS","Apartamento com 3 Quartos para Aluguel, 77",  77,  3,  1,  1,"['Academia', 'Salão de festas', 'Ar-condicionado', 'Área de serviço']",   R$ 2.500 /Mês 
"Rua Newton Stilac Leal, 241 - Jardim Botânico, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 87",  87,  2,  3,  2,"['Mobiliado', 'Varanda', 'Área de serviço', 'Varanda gourmet', 'Salão de festas', '...']",   R$ 2.300 /Mês  Preço abaixo do mercado  
"Rua Newton Stilac Leal, 241 - Jardim Botânico, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 87",  87,  2,  3,  2,"['Mobiliado', 'Varanda', 'Área de serviço', 'Varanda gourmet', 'Salão de festas', '...']",   R$ 2.300 /Mês  Preço abaixo do mercado  
"Rua Veador Porto, 530 - Santana, Porto Alegre - RS","Apartamento com 2 Quartos para Aluguel, 55",  55,  2,  1,  2,"['Ar-condicionado', 'Área de serviço']",   R$ 1.600 /Mês 
"Rua da Criança, 1 - Laranjeiras, Uberlândia - MG","Casa com 2 Quartos para Aluguel, 81",  81,  2,  1,  2,,   R$ 1.300 /Mês 
"Vila Aviação, Bauru - SP","Apartamento com 2 Quartos para Aluguel, 65",  65,  2,  2,  1,,   R$ 3.500 /Mês 
"Rua Barão de Itaipu, 127 - Andaraí, Rio de Janeiro - RJ","Apartamento com 2 Quartos para Aluguel, 89",  89,  2,  2,  4,"['Elevador', 'Varanda', 'Academia', 'Área de serviço', 'Playground', '...']",   R$ 2.300 /Mês 
"Estrada Municipal do Roncáglia, 450 - Roncáglia, Valinhos - SP","Ponto comercial/Loja/Box    para Aluguel, 100",  100,,  2,  2,"['Próximo a shopping', 'Próximo a escola', 'Próximo a hospitais', 'Garagem', 'Perto de vias de acesso']",   R$ 2.675 /Mês 
"BAIRRO PINHEIRINHO, Vinhedo - SP","Sala/Conjunto    para Aluguel, 80",  80,,  --,  --,,   R$ 7.000 /Mês 
"Ponta Aguda, Blumenau - SC","Imóvel comercial    para Aluguel, 281",  281,,  4,  4,"['Quintal', 'Aceita animais', 'Ar-condicionado', 'Área de serviço', 'Escritório', '...']",   R$ 5.010 /Mês 
"Avenida João Pessoa, 1 - Martins, Uberlândia - MG","Apartamento com 3 Quartos para Aluguel, 80",  80,  3,  1,  1,,   R$ 1.400 /Mês 
"Rua Francisco Leandro, 1759 - Lagoa Redonda, Fortaleza - CE","Apartamento com 2 Quartos para Aluguel, 70",  70,  2,  2,  2,"['Churrasqueira', 'Cozinha', 'Interfone', 'Área de serviço']",   R$ 1.100 /Mês 
"Vila Marieta, São Paulo - SP","Sala/Conjunto    para Aluguel, 32",  32,,  1,  --,,   R$ 1.200 /Mês 
"Picanço, Guarulhos - SP","Apartamento com 2 Quartos para Aluguel, 58",  58,  2,  2,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 2.200 /Mês 
"Rua Rubens Metello - Ibiapaba, Barbacena - MG","Sala/Conjunto    para Aluguel, 30",  30,,  1,  --,"['Cozinha', 'Elevador']",   R$ 1.132 /Mês 
"Rua Benedito da Silva, 895 - Jardim Sao Carlos, São Carlos - SP","Casa com 3 Quartos para Aluguel, 200",  200,  3,  1,  --,,   R$ 2.223 /Mês 
"Rua Comendador Miguel Calfat, 128 - Itaim Bibi, São Paulo - SP","Sala/Conjunto    para Aluguel, 25",  25,,  1,  1,"['Ar-condicionado', 'Loja', 'Elevador', 'Aquecimento', 'Escritório']",   R$ 1.200 /Mês 
"Travessa Chico Luiz, 37 - Centro, São José dos Campos - SP","Apartamento com 2 Quartos para Aluguel, 74",  74,  2,  1,  --,,   R$ 1.900 /Mês 
"Rua Dona Cecília Santana - Vila Granada, São Paulo - SP","Casa de condomínio com 3 Quartos para Aluguel, 150",  150,  3,  3,  4,"['Garagem', 'Jardim', 'Cozinha', 'Interfone', 'Vista exterior', '...']",   R$ 2.100 /Mês  Preço abaixo do mercado  
"Avenida Rouxinol, 174 - Indianópolis, São Paulo - SP","Flat com  Quarto para Aluguel, 42",  42,  1,  1,  1,"['Piscina', 'Mobiliado', 'Elevador', 'Academia', 'Garagem', '...']",   R$ 2.650 /Mês 
"Avenida Joaquim Bernardino de Souza, 5644 - Vila Nova Aliança , Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 40",  40,  2,  1,  1,"['Churrasqueira', 'Condomínio fechado', 'Área de serviço', 'Playground', 'Salão de festas', '...']",   R$ 900 /Mês 
"Estrada do Limoeiro, 465 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 45",  45,  2,  1,  1,"['Portão eletrônico', 'Portaria 24h', 'Aceita animais']",   R$ 1.750 /Mês 
"Rua Ali-Babá, 252 - Jardim Gurilândia, Taubaté - SP","Casa com 2 Quartos à Venda/Aluguel 127",  127,  2,  2,  2,"['Ambientes integrados', 'Área de serviço', 'Armário na cozinha']",   R$ 1.500 /Mês 
"Rua Laranjal do Jari, 200 - Pirituba, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 40",  40,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Aceita animais', '...']",   R$ 1.350 /Mês 
"Quinta da Primavera, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 90",  90,  2,  1,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Academia', 'Espaço gourmet', '...']",   R$ 3.600 /Mês 
"Avenida Jamaris, 100 - Moema, São Paulo - SP","Sala/Conjunto    para Aluguel, 31",  31,,  1,  1,"['Aquecimento', 'Ar-condicionado', 'Elevador', 'Escritório']",   R$ 2.300 /Mês 
"Rua Araguaia - Vila Curuçá, Santo André - SP","Apartamento com 2 Quartos para Aluguel, 64",  64,  2,  2,  1,"['Churrasqueira', 'Elevador', 'Piscina', 'Aceita animais']",   R$ 2.300 /Mês 
"Rua São Diego, 520 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 70",  70,  2,  2,  1,"['Piscina', 'Elevador', 'Condomínio fechado', 'Academia', 'Jardim', '...']",   R$ 2.600 /Mês 
"Avenida Cléo de Verberena, 123 - Villa Branca, Jacareí - SP","Casa com 3 Quartos para Aluguel, 165",  165,  3,  2,  2,,   R$ 3.750 /Mês 
"Avenida Deputado Sérgio Cardoso de Almeida, 1980 - Jardim Olhos d Agua, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 97",  97,  2,  3,  2,"['Aceita animais', 'Ar-condicionado', 'Área de serviço', 'Varanda gourmet', 'Cozinha', '...']",   R$ 4.800 /Mês 
"Estrada do Limoeiro, 36 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 45",  45,  2,  1,  1,"['Mobiliado', 'Condomínio fechado', 'Aceita animais', 'Playground', 'Portaria 24h', '...']",   R$ 1.750 /Mês 
"Campos Eliseos, Ribeirão Preto - SP","Casa com 2 Quartos para Aluguel, 66",  66,  2,  1,  1,"['Aceita animais', 'Lareira']",   R$ 1.200 /Mês 
"Rua Cândido Fontoura, 1001 - Butantã, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 46",  46,  2,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Academia', '...']",   R$ 1.700 /Mês 
"Rua Batista de Oliveira, 1398 - Granbery, Juiz de Fora - MG","Apartamento com 3 Quartos para Aluguel, 127",  127,  3,  2,  1,"['Cozinha', 'Elevador', 'Interfone', 'Varanda', 'Área de serviço']",   R$ 1.520 /Mês 
"Rua Manabu Mabe, 12 - Loteamento Villa Branca, Jacareí - SP","Casa com 3 Quartos para Aluguel, 165",  165,  3,  2,  2,['Aceita animais'],   R$ 3.750 /Mês 
"Rua José Gonçalves da Mota Jr., 83 - Marapé, Santos - SP","Ponto comercial/Loja/Box    para Aluguel, 40",  40,,  2,  --,"['Depósito', 'Ar-condicionado']",   R$ 1.800 /Mês 
"Rua da Colina, 0 - Alto do Coqueirinho, Salvador - BA","Casa com 2 Quartos para Venda/Aluguel 90",  90,  2,  2,  --,['Aceita animais'],   R$ 500 /Mês 
"Rua Doutor Sinésio da Paixão Nogueira, 195 - Vila Tiradentes, São João de Meriti - RJ","Casa com 2 Quartos para Aluguel, 60",  60,  2,  1,  --,,   R$ 850 /Mês 
"Jardim Cidade Pirituba, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 67",  67,  2,  2,  1,,   R$ 2.300 /Mês 
"Estrada da Posse, Lt 25 Qd 01 - Campo Grande, Rio de Janeiro - RJ","Sala/Conjunto    para Aluguel, 110",  110,,  2,  --,,   R$ 2.000 /Mês 
"Rua 113, 86 - Conjunto Ceara II, Fortaleza - CE","Casa com 3 Quartos para Aluguel, 137",  137,  3,  3,  4,['Área de serviço'],   R$ 1.800 /Mês 
"Centro, Ribeirão Preto - SP","Apartamento com 3 Quartos para Aluguel, 104",  104,  3,  1,  1,"['Cozinha', 'Elevador', 'Interfone', 'Área de serviço', 'Aceita animais']",   R$ 1.400 /Mês 
"Avenida Santa Inês - Parque Mandaqui, São Paulo - SP","Cobertura com 4 Quartos para Venda/Aluguel 142",  142,  4,  5,  3,"['Churrasqueira', 'Elevador', 'Garagem', 'Playground', 'Salão de festas', '...']",   R$ 5.000 /Mês 
"Rua Conde do Pinhal, 2993 - Centro, São Carlos - SP","Casa com 3 Quartos para Aluguel, 90",  90,  3,  2,  2,['Garagem'],   R$ 1.650 /Mês 
